sysdig_system_call,classification_system_call
__clone2,creat
_exit,open
_Exit,truncate
_llseek,file
_newselect,access
_syscall,stat
_sysctl,lstat
accept,fstat
accept4,umask
access,utime
acct,utimes
add_key,chmod
adjtimex,fchmod
afs_syscall,chown
alarm,fchown
alloc_hugepages,link
arc_gettls,symlink
arc_settls,rename
arc_usr_cmpxchg,unlink
arch_prctl,_llseek
arm_fadvise,lseek
arm_fadvise64_64,readlink
arm_sync_file_range,mkdir
atomic_barrier,mknod
atomic_cmpxchg_32,rmdir
bdflush,getdents
bfin_spinlock,readdir
bind,fdatasync
bpf,faync
break,msync
breakpoint,chroot
brk,chrdir
cacheflush,fchdir
capget,socket
capset,socketpair
chdir,getsockopt
chmod,setsockopt
chown,bind
chown32,getsockname
chroot,listen
clock_adjtime,accept
clock_getres,connect
clock_gettime,shutdown
clock_nanosleep,recv
clock_settime,recvfrom
clone,recvmsg
clone2,send
clone3,sendto
close,sendmsg
cmpxchg_badaddr,getdomainname
connect,setdomainname
copy_file_range,gethostid
creat,gethostname
create_module,sethostid
delete_module,sethostname
dma_memcpy,getpeername
dup,msgctl
dup2,msgget
dup3,msgsnd
epoll_create,msgrcv
epoll_create1,shmctl
epoll_ctl,shmat
epoll_pwait,shmdt
epoll_wait,shmget
eventfd,close
eventfd2,mmap
execv,munmap
execve,gettablesize
execveat,dup
exit,dup2
exit_group,read
faccessat,readv
faccessat2,write
fadvise64,writev
fadvise64_64,flock
fallocate,fcntl
fanotify_init,ioctl
fanotify_mark,nanosleep
fattach,alarm
fchdir,gettimer
fchmod,settimer
fchmodat,gettimeofday
fchown,settimeofday
fchown32,time
fchownat,times
fcntl,_exit
fcntl64,clone
fdatasync,execve
fdetach,fork
fgetxattr,vfork
finit_module,wait
flistxattr,wait_pid
flock,wait3
fork,wait4
free_hugepages,getpid
fremovexattr,getppid
fsetxattr,kill
fstat,killpg
fstat64,sigblock
fstatat,sigmask
fstatat64,siggetmask
fstatfs,sigsetmask
fstatfs64,signal
fstatvfs,sigvec
fsync,sigaction
ftruncate,sigprocmask
ftruncate64,sigpending
futex,sigsuspend
futimesat,sigpause
get_kernel_syms,pause
get_mempolicy,sigreturn
get_robust_list,poll
get_thread_area,select
get_tls,semctl
getcontext,semget
getcpu,semop
getcwd,getuid
getdents,gedgid
getdents64,geteuid
getdomainname,getresuid
getdtablesize,getresgid
getegid,getsid
getegid32,getpgid
geteuid,getpgrp
geteuid32,getgroups
getgid,setegid
getgid32,seteuid
getgroups,setfsgid
getgroups32,setfsuid
gethostid,setgid
gethostname,setregid
getitimer,setreuid
getmsg,setresgid
getpagesize,setresuid
getpeername,setgroups
getpgid,setsid
getpgrp,setuid
getpid,getrlimit
getpmsg,setrlimit
getppid,getrusage
getpriority,getpriority
getrandom,nice
getresgid,setpriority
getresgid32,brk
getresuid,sbrk
getresuid32,mlock
getrlimit,mlockall
getrusage,munlock
getsid,munlockall
getsockname,mprotect
getsockopt,mremap
gettid,modify_ldt
gettimeofday,uselib
getuid,profil
getuid32,ptrace
getunwind,sync
getxattr,ustat
getxgid,statfs
getxpid,fstatfs
getxuid,sysfs
gtty,getpagesize
idle,sysinfo
inb,uname
inb_p,setup
init_module,swapoff
inl,swapon
inl_p,nsfservctl
inotify_add_watch,mount
inotify_init,umount
inotify_init1,sched_get_priority_max
inotify_rm_watch,sched_get_priority_min 
insb,sched_getparam 
insl,sched_setparam
insw,sched_getscheduler
intro,sched_setscheduler
inw,sched_rr_get_interval
inw_p,sched_yield
io_cancel,stime
io_destroy,adjtimex
io_getevents,create_module
io_pgetevents,delete_module
io_setup,init_module
io_submit,query_module
ioctl,get_kernel_syms
ioctl_console,acct
ioctl_fat,quotactl
ioctl_ficlone,sysctl
ioctl_ficlonerange,syslog
ioctl_fideduperange,idle
ioctl_getfsmap,reboot
ioctl_iflags,ioperm
ioctl_list,iopl
ioctl_ns,bdflush
ioctl_tty,cacheflush
ioctl_userfaultfd,ipc
ioctl_xfs_fsbulkstat,socketcall
ioctl_xfs_fscounts,personality
ioctl_xfs_fsgetxattr,vhangup
ioctl_xfs_fsgetxattra,vm86old
ioctl_xfs_fsinumbers,vm86
ioctl_xfs_fsop_geometry,
ioctl_xfs_fssetxattr,
ioctl_xfs_getbmap,
ioctl_xfs_getbmapa,
ioctl_xfs_getbmapx,
ioctl_xfs_getresblks,
ioctl_xfs_goingdown,
ioctl_xfs_scrub_metadata,
ioctl_xfs_setresblks,
ioperm,
iopl,
ioprio_get,
ioprio_set,
ipc,
isastream,
kcmp,
kern_features,
kexec_file_load,
kexec_load,
keyctl,
kill,
killpg,
lchown,
lchown32,
lgetxattr,
link,
linkat,
listen,
listxattr,
llistxattr,
llseek,
lock,
lookup_dcookie,
lremovexattr,
lseek,
lsetxattr,
lstat,
lstat64,
madvise,
madvise1,
mbind,
membarrier,
memfd_create,
memory_ordering,
metag_get_tls,
metag_set_fpu_flags,
metag_set_tls,
metag_setglobalbit,
migrate_pages,
mincore,
mkdir,
mkdirat,
mknod,
mknodat,
mlock,
mlock2,
mlockall,
mmap,
mmap2,
modify_ldt,
mount,
move_pages,
mprotect,
mpx,
mq_getsetattr,
mq_notify,
mq_open,
mq_timedreceive,
mq_timedsend,
mq_unlink,
mremap,
msgctl,
msgget,
msgop,
msgrcv,
msgsnd,
msync,
munlock,
munlockall,
munmap,
name_to_handle_at,
nanosleep,
newfstatat,
nfsservctl,
nice,
old_adjtimex,
old_getrlimit,
oldfstat,
oldlstat,
oldolduname,
oldstat,
oldumount,
olduname,
open,
open_by_handle_at,
openat,
or1k_atomic,
outb,
outb_p,
outl,
outl_p,
outsb,
outsl,
outsw,
outw,
outw_p,
pause,
pciconfig_iobase,
pciconfig_read,
pciconfig_write,
perf_event_open,
perfctr,
perfmonctl,
personality,
phys,
pipe,
pipe2,
pivot_root,
pkey_alloc,
pkey_free,
pkey_mprotect,
poll,
posix_fadvise,
ppoll,
prctl,
pread,
pread64,
preadv,
preadv2,
prlimit,
prlimit64,
process_vm_readv,
process_vm_writev,
procexit,
prof,
pselect,
pselect6,
ptrace,
putmsg,
putpmsg,
pwrite,
pwrite64,
pwritev,
pwritev2,
query_module,
quotactl,
read,
readahead,
readdir,
readlink,
readlinkat,
readv,
reboot,
recv,
recvfrom,
recvmmsg,
recvmsg,
remap_file_pages,
removexattr,
rename,
renameat,
renameat2,
request_key,
restart_syscall,
riscv_flush_icache,
rmdir,
rseq,
rt_sigaction,
rt_sigpending,
rt_sigprocmask,
rt_sigqueueinfo,
rt_sigreturn,
rt_sigsuspend,
rt_sigtimedwait,
rt_tgsigqueueinfo,
rtas,
s390_guarded_storage,
s390_pci_mmio_read,
s390_pci_mmio_write,
s390_runtime_instr,
s390_sthyi,
sbrk,
sched_get_affinity,
sched_get_priority_max,
sched_get_priority_min,
sched_getaffinity,
sched_getattr,
sched_getparam,
sched_getscheduler,
sched_rr_get_interval,
sched_set_affinity,
sched_setaffinity,
sched_setattr,
sched_setparam,
sched_setscheduler,
sched_yield,
seccomp,
security,
select,
select_tut,
semctl,
semget,
semop,
semtimedop,
send,
sendfile,
sendfile64,
sendmmsg,
sendmsg,
sendto,
set_mempolicy,
set_robust_list,
set_thread_area,
set_tid_address,
set_tls,
setcontext,
setdomainname,
setegid,
seteuid,
setfsgid,
setfsgid32,
setfsuid,
setfsuid32,
setgid,
setgid32,
setgroups,
setgroups32,
sethae,
sethostid,
sethostname,
setitimer,
setns,
setpgid,
setpgrp,
setpriority,
setregid,
setregid32,
setresgid,
setresgid32,
setresuid,
setresuid32,
setreuid,
setreuid32,
setrlimit,
setsid,
setsockopt,
settimeofday,
setuid,
setuid32,
setup,
setxattr,
sgetmask,
shmat,
shmctl,
shmdt,
shmget,
shmop,
shutdown,
sigaction,
sigaltstack,
signal,
signaldeliver,
signalfd,
signalfd4,
sigpending,
sigprocmask,
sigqueue,
sigreturn,
sigsuspend,
sigtimedwait,
sigwaitinfo,
socket,
socketcall,
socketpair,
spill,
splice,
spu_create,
spu_run,
sram_alloc,
sram_free,
ssetmask,
stat,
stat64,
statfs,
statfs64,
statvfs,
statx,
stime,
stty,
subpage_prot,
swapcontext,
swapoff,
swapon,
switch,
switch_endian,
symlink,
symlinkat,
sync,
sync_file_range,
sync_file_range2,
syncfs,
sys_debug_setcontext,
syscall,
syscalls,
sysctl,
sysfs,
sysinfo,
syslog,
sysmips,
tee,
tgkill,
time,
timer_create,
timer_delete,
timer_getoverrun,
timer_gettime,
timer_settime,
timerfd_create,
timerfd_gettime,
timerfd_settime,
times,
timestamp,
tkill,
truncate,
truncate64,
tuxcall,
ugetrlimit,
umask,
umount,
umount2,
uname,
unimplemented,
unlink,
unlinkat,
unshare,
uselib,
userfaultfd,
usr26,
usr32,
ustat,
utime,
utimensat,
utimes,
utrap_install,
vfork,
vhangup,
vm86,
vm86old,
vmsplice,
vserver,
wait,
wait3,
wait4,
waitid,
waitpid,
write,
writev,
xtensa,